,total,vac_18_25,vac_25_40,vac_40_60,above_60,vac_18_30,vac_30_45,vac_45_60,vac_18_45,dates_vaccine
0,39612614,1487768.0,7026408.0,11542500.0,19538350,0.0,0.0,0.0,0.0,2021-03-22
1,42148875,1517626.0,7139637.0,12235178.0,21238556,0.0,0.0,0.0,0.0,2021-03-23
2,44250191,1540577.0,7229462.0,12809134.0,22652955,0.0,0.0,0.0,0.0,2021-03-24
3,46454700,1565903.0,7329935.0,13438961.0,24101658,0.0,0.0,0.0,0.0,2021-03-25
4,48749313,1593134.0,7437574.0,14142017.0,25558079,0.0,0.0,0.0,0.0,2021-03-26
5,50865316,1620311.0,7550391.0,14835024.0,26840911,0.0,0.0,0.0,0.0,2021-03-27
6,51179587,1623846.0,7568008.0,14951629.0,27017385,0.0,0.0,0.0,0.0,2021-03-28
7,51774289,1633609.0,7598554.0,15144058.0,27379282,0.0,0.0,0.0,0.0,2021-03-29
8,53429356,1653856.0,7681454.0,15669710.0,28405395,0.0,0.0,0.0,0.0,2021-03-30
9,55188803,1675520.0,7775806.0,16264001.0,29454352,0.0,0.0,0.0,0.0,2021-03-31
10,57443466,1692950.0,7865038.0,17615494.0,30250716,0.0,0.0,0.0,0.0,2021-04-01
11,60936753,1719916.0,8002780.0,19839695.0,31354874,0.0,0.0,0.0,0.0,2021-04-02
12,63743700,1745212.0,8127027.0,21613929.0,32237904,0.0,0.0,0.0,0.0,2021-04-03
13,66838504,1764022.0,8216983.0,23681718.0,33156019,0.0,0.0,0.0,0.0,2021-04-04
14,69620234,1764958.0,8223615.0,25457649.0,34154208,0.0,0.0,0.0,0.0,2021-04-05
15,72035640,1765575.0,8228766.0,27028827.0,34992622,0.0,0.0,0.0,0.0,2021-04-06
16,76671812,1766737.0,8238827.0,30065901.0,36580444,0.0,0.0,0.0,0.0,2021-04-07
17,80998099,1768016.0,8249071.0,32914036.0,38047027,0.0,0.0,0.0,0.0,2021-04-08
18,84296847,1773145.0,8277449.0,35088992.0,39137263,0.0,0.0,0.0,0.0,2021-04-09
19,87411872,1784450.0,8331293.0,37138666.0,40137437,0.0,0.0,0.0,0.0,2021-04-10
20,90111528,1789584.0,8361079.0,38924746.0,41016044,0.0,0.0,0.0,0.0,2021-04-11
21,93559587,1799028.0,8415450.0,41124841.0,42200133,0.0,0.0,0.0,0.0,2021-04-12
22,95823614,1806279.0,8455574.0,42580769.0,42960830,0.0,0.0,0.0,0.0,2021-04-13
23,98703696,1817359.0,8511893.0,44385712.0,43968484,0.0,0.0,0.0,0.0,2021-04-14
24,100853671,1826578.0,8566746.0,45715162.0,44724878,0.0,0.0,0.0,0.0,2021-04-15
25,102927296,1837020.0,8632589.0,46998499.0,45438828,0.0,0.0,0.0,0.0,2021-04-16
26,104950409,1847322.0,8698915.0,48281098.0,46102623,0.0,0.0,0.0,0.0,2021-04-17
27,105896430,1851310.0,8722688.0,48885888.0,46416081,0.0,0.0,0.0,0.0,2021-04-18
28,108178574,1877845.0,8839431.0,50242630.0,47198108,0.0,0.0,0.0,0.0,2021-04-19
29,110165234,1896098.0,8930903.0,51441470.0,47876178,0.0,0.0,0.0,0.0,2021-04-20
30,111673361,1905133.0,8984102.0,52371179.0,48391750,0.0,0.0,0.0,0.0,2021-04-21
31,113584269,1916766.0,9056035.0,53528676.0,49056017,0.0,0.0,0.0,0.0,2021-04-22
32,115461202,1930931.0,9145019.0,54681402.0,49673372,0.0,0.0,0.0,0.0,2021-04-23
33,117105343,1942617.0,9219125.0,55725179.0,50185235,0.0,0.0,0.0,0.0,2021-04-24
34,117795008,1947501.0,9247449.0,56163123.0,50403597,0.0,0.0,0.0,0.0,2021-04-25
35,119886252,1961373.0,9338927.0,57436912.0,51108802,0.0,0.0,0.0,0.0,2021-04-26
36,121263287,0.0,0.0,0.0,51567636,4574787.0,9878761.0,55220908.0,0.0,2021-04-27
37,122538179,0.0,0.0,0.0,51980128,4606956.0,9950981.0,55978822.0,0.0,2021-04-28
38,123811908,0.0,0.0,0.0,52384617,4641395.0,10024708.0,56743187.0,0.0,2021-04-29
39,125376952,0.0,0.0,0.0,52862810,4688929.0,10130279.0,57676548.0,0.0,2021-04-30
40,126328970,0.0,0.0,0.0,53112963,4759459.0,10240010.0,58198124.0,0.0,2021-05-01
41,126704151,0.0,0.0,0.0,53191783,4801112.0,10256055.0,58438144.0,0.0,2021-05-02
42,127696675,0.0,0.0,0.0,53426355,4927274.0,10424846.0,58901132.0,0.0,2021-05-03
43,128627919,0.0,0.0,0.0,53622284,5073937.0,10615368.0,59299040.0,0.0,2021-05-04
44,129730641,0.0,0.0,0.0,53877151,5217900.0,10818153.0,59800123.0,0.0,2021-05-05
45,131058890,0.0,0.0,0.0,54207909,5379511.0,11050917.0,60403154.0,0.0,2021-05-06
46,132294827,0.0,0.0,0.0,54493332,5559432.0,11297554.0,60927081.0,0.0,2021-05-07
47,133366482,0.0,0.0,0.0,54720932,5731743.0,11523548.0,61372739.0,0.0,2021-05-08
48,133854676,0.0,0.0,0.0,54786708,5873636.0,11665804.0,61510977.0,0.0,2021-05-09
49,135192013,0.0,0.0,0.0,55038117,6166858.0,12001119.0,61966293.0,0.0,2021-05-10
50,136557345,0.0,0.0,0.0,55307756,6441976.0,12326199.0,62460166.0,0.0,2021-05-11
51,137805245,0.0,0.0,0.0,55549219,6689906.0,12617481.0,62926016.0,0.0,2021-05-12
52,139087590,0.0,0.0,0.0,55799375,6947716.0,12915397.0,63401077.0,0.0,2021-05-13
53,139861462,0.0,0.0,0.0,55924598,7137826.0,13118059.0,63656217.0,0.0,2021-05-14
54,141132112,0.0,0.0,0.0,56126114,7447446.0,13455142.0,64076941.0,0.0,2021-05-15
55,141764335,0.0,0.0,0.0,56176752,7671418.0,13688699.0,64200432.0,0.0,2021-05-16
56,143090218,0.0,0.0,0.0,56342950,8026238.0,14077348.0,64615446.0,0.0,2021-05-17
57,144270200,0.0,0.0,0.0,56508521,8307968.0,14402914.0,65021417.0,0.0,2021-05-18
58,145333606,0.0,0.0,0.0,56636839,8593200.0,14732239.0,65340955.0,0.0,2021-05-19
59,146624652,0.0,0.0,0.0,56787668,8958869.0,15136547.0,65709875.0,0.0,2021-05-20
60,147893976,0.0,0.0,0.0,56936352,0.0,0.0,66109139.0,24815544.0,2021-05-21
61,149302864,0.0,0.0,0.0,57119494,0.0,0.0,66609184.0,25540064.0,2021-05-22
